domainID,siteID,plotID,trapID,collectDate,etOHChangeDate,processingDate,identifiedDate,associatedSampleID,sampleID,targetTaxaPresent,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks,duplicateSampleIDQF
D02,SCBI,SCBI_004,S,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_004.S.20140610.CHLAES.01,SCBI_004.S.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,1,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,This beetle was pinned,0
D02,SCBI,SCBI_004,N,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_004.N.20140610.CHLAES.01,SCBI_004.N.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,6,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,These beetles were pinned,0
D02,SCBI,SCBI_004,W,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_004.W.20140610.CHLAES.01,SCBI_004.W.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,10,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,These beetles were pinned,0
D02,SCBI,SCBI_004,E,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_004.E.20140610.CHLAES.01,SCBI_004.E.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,3,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,These beetles were pinned,0
D02,SCBI,SCBI_010,N,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_010.N.20140610.CHLAES.01,SCBI_010.N.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,8,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All individuals were pinned,0
D02,SCBI,SCBI_010,W,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_010.W.20140610.CHLAES.01,SCBI_010.W.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,1,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,This beetle was pinned,0
D02,SCBI,SCBI_010,E,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_010.E.20140610.CHLAES.01,SCBI_010.E.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,3,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All individuals were pinned,0
D02,SCBI,SCBI_007,S,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_007.S.20140610.CHLAES.01,SCBI_007.S.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,5,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All individuals were pinned,0
D02,SCBI,SCBI_003,S,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_003.S.20140610.CHLAES.01,SCBI_003.S.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,4,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All individuals were pinned,0
D02,SCBI,SCBI_003,N,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_003.N.20140610.CHLAES.01,SCBI_003.N.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,4,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All individuals were pinned,0
D02,SCBI,SCBI_002,W,6/10/2014,6/11/2014,10/1/2014,10/1/2014,SCBI_002.W.20140610.CHLAES.01,SCBI_002.W.20140610.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,8,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,All but 1 of the individuals were pinned. The one beetle was not pinned as it was damaged.,0
D02,SCBI,SCBI_005,N,6/11/2014,6/11/2014,10/3/2014,10/3/2014,SCBI_005.N.20140611.CHLAES.01,SCBI_005.N.20140611.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,5,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,These beetles were pinned,0
D02,SCBI,SCBI_005,S,6/11/2014,6/11/2014,10/3/2014,10/3/2014,SCBI_005.S.20140611.CHLAES.01,SCBI_005.S.20140611.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,1,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,this beetle was pinned,0
D02,SCBI,SCBI_005,W,6/11/2014,6/11/2014,10/3/2014,10/3/2014,SCBI_005.W.20140611.CHLAES.01,SCBI_005.W.20140611.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,5,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,,0
D02,SCBI,SCBI_005,E,6/11/2014,6/11/2014,10/3/2014,10/3/2014,SCBI_005.E.20140611.CHLAES.01,SCBI_005.E.20140611.CHLAES.01,Y,common carabid,CHLAES,Chlaenius aestivus,species,NA,Say,NA,1,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,This beetle is pinned,0
